Frequency,License,Type,Tone,Alpha Tag,Description,Mode,Tag
453.8,WPWT505,RM,156.7 PL,OR PD RF Low/Dex,Police - Relay in Lowell/Dexter,FMN,Law Dispatch
154.295,KJF360,BM,91.5 PL,Oakridge Fire 1,Fire Dispatch,FMN,Fire Dispatch
155.16,KUV788,BM,91.5 PL,Oakridge Fire 2,Fire Operations/EMS/Fireground,FMN,Fire-Tac
460.125,WNHE817,RM,156.7 PL,Spfld PubWorks 1,Public Works 1,FMN,Public Works
155.895,KBA637,RM,167.9 PL,WLF Dispatch,WLF Dispatch for Fire and EMS,FMN,EMS Dispatch
155.265,WQEG385,RM,192.8 PL,WLF OPS 1,Operations 1,FMN,Fire-Tac
156.12,WQEG385,RM,179.9 PL,WLFE Ops 2,Fire and EMS Operations 2,FMN,Fire-Tac
154.49,,,,Westfir Fire,Fire Dispatch,FMN,Fire Dispatch
159.1875,WQIB409,RM,023 DPL,CTCLUS Police,Confederated Tribes Police Dept.,FMN,Law Dispatch
463.4,,RM,031 DPL,3RivCas Security,Three Rivers Casino Security,FMN,Security
408.2,,RM,107 NAC,FPS EugDisp,Eugene Dispatch,P25,Federal
453.3,,RM,043 DPL,LCC Ops,Operations,FMN,Schools
460.375,,,146.2 PL,UO Ops,University Ops,FMN,Schools
461.45,,RM,156.7 PL,UO Athletic Dep,Athletic Dept Ops,FMN,Schools
